-3.52			3233
-3.50			3244
-3.49			3206
-3.45			3202
-3.40			3174
-3.36			3160
-3.29			3143
-3.25			3121
-3.19			3107
-3.14			3071
-3.10			3049
-3.06			3025
-3.00			3004
-2.94			2979
-2.88			2954
-2.85			2937
-2.78			2914
-2.76			2883
-2.69			2861
-2.64			2847
-2.59			2815
-2.53			2802
-2.49			2776
-2.45			2740
-2.41			2705
-2.35			2697
-2.34			2659
-2.26			2658
-2.20			2619
-2.18			2598
-2.12			2566
-2.05			2543
-2.03			2504
-1.99			2482
-1.91			2452
-1.89			2418
-1.82			2405
-1.76			2366
-1.72			2331
-1.68			2302
-1.63			2271
-1.58			2246
-1.56			2221
-1.52			2194
-1.48			2171
-1.44			2139
-1.40			2116
-1.37			2081
-1.32			2056
-1.28			2023
-1.24			1995
-1.19			1959
-1.17			1930
-1.12			1896
-1.09			1873
-1.05			1838
-1.02			1813
-0.98			1785
-0.95			1754
-0.92			1724
-0.88			1689
-0.85			1659
-0.81			1625
-0.77			1590
-0.74			1552
-0.70			1523
-0.68			1487
-0.65			1455
-0.62			1421
-0.59			1375
-0.55			1341
-0.52			1307
-0.49			1268
-0.46			1233
-0.43			1188
-0.40			1150
-0.37			1106
-0.35			1064
-0.32			1018
-0.29			974
-0.26			929
-0.24			886
-0.21			834
-0.19			786
-0.16			735
-0.15			683
-0.12			628
-0.10			575
-0.08			518
-0.07			463
-0.05			400
-0.03			342
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.00			0
0.05			344
0.06			399
0.08			461
0.10			515
0.12			573
0.15			626
0.18			675
0.20			731
0.23			777
0.26			824
0.29			876
0.33			917
0.36			967
0.39			1007
0.43			1048
0.46			1092
0.50			1136
0.53			1169
0.58			1214
0.62			1252
0.64			1287
0.69			1322
0.73			1354
0.77			1397
0.83			1432
0.85			1470
0.89			1499
0.92			1532
0.97			1562
1.00			1597
1.05			1628
1.09			1669
1.14			1700
1.20			1731
1.23			1761
1.28			1793
1.32			1817
1.37			1849
1.41			1878
1.46			1912
1.51			1934
1.55			1967
1.61			1999
1.65			2032
1.71			2064
1.76			2085
1.81			2114
1.85			2145
1.91			2175
1.96			2201
2.00			2228
2.09			2245
2.12			2285
2.16			2312
2.25			2337
2.27			2375
2.34			2411
2.43			2437
2.50			2464
2.56			2498
2.64			2539
2.66			2583
2.76			2592
2.78			2617
2.88			2652
2.93			2659
2.99			2693
3.05			2714
3.13			2751
3.19			2773
3.23			2795
3.32			2815
3.36			2855
3.42			2878
3.49			2901
3.57			2926
3.62			2957
3.69			2984
3.77			3011
3.84			3035
3.92			3048
3.98			3087
4.03			3114
4.11			3139
4.15			3159
4.21			3183
4.30			3195
4.38			3218
4.42			3243
4.51			3263
4.53			3288
4.52			3279
