-4.59		1100
-4.54		1104
-4.53		1108
-4.48		1112
-4.42		1116
-4.35		1120
-4.35		1124
-4.17		1128
-4.18		1132
-4.11		1136
-4.04		1140
-3.99		1144
-3.91		1148
-3.86		1152
-3.81		1156
-3.71		1160
-3.68		1164
-3.56		1168
-3.54		1172
-3.42		1176
-3.36		1180
-3.27		1184
-3.19		1188
-3.09		1192
-3.03		1196
-2.96		1200
-2.88		1204
-2.84		1208
-2.78		1212
-2.70		1216
-2.66		1220
-2.59		1224
-2.53		1228
-2.48		1232
-2.42		1236
-2.36		1240
-2.32		1244
-2.25		1248
-2.21		1252
-2.16		1256
-2.11		1260
-2.04		1264
-2.00		1268
-1.94		1272
-1.88		1276
-1.81		1280
-1.76		1284
-1.72		1288
-1.66		1292
-1.61		1296
-1.56		1300
-1.52		1304
-1.47		1308
-1.42		1312
-1.38		1316
-1.33		1320
-1.27		1324
-1.22		1328
-1.17		1332
-1.13		1336
-1.08		1340
-1.05		1344
-1.01		1348
-0.97		1352
-0.93		1356
-0.89		1360
-0.86		1364
-0.81		1368
-0.77		1372
-0.74		1376
-0.70		1380
-0.67		1384
-0.64		1388
-0.60		1392
-0.56		1396
-0.53		1400
-0.49		1404
-0.46		1408
-0.43		1412
-0.40		1416
-0.37		1420
-0.34		1424
-0.30		1428
-0.27		1432
-0.24		1436
-0.21		1440
-0.18		1444
-0.15		1448
-0.13		1452
-0.10		1456
-0.08		1460
-0.06		1464
-0.05		1468
0.00		1472
0.00		1476
0.00		1480
0.00		1484
0.00		1488
0.00		1492
0.00		1496
0.00		1500
0.00		1504
0.00		1508
0.00		1512
0.00		1516
0.00		1520
0.00		1524
0.00		1528
0.05		1532
0.07		1536
0.09		1540
0.12		1544
0.15		1548
0.18		1552
0.21		1556
0.25		1560
0.29		1564
0.32		1568
0.36		1572
0.39		1576
0.43		1580
0.47		1584
0.51		1588
0.55		1592
0.59		1596
0.63		1600
0.67		1604
0.70		1608
0.76		1612
0.80		1616
0.84		1620
0.88		1624
0.92		1628
0.97		1632
1.02		1636
1.08		1640
1.13		1644
1.18		1648
1.22		1652
1.28		1656
1.32		1660
1.38		1664
1.42		1668
1.49		1672
1.54		1676
1.60		1680
1.68		1684
1.74		1688
1.79		1692
1.84		1696
1.92		1700
1.97		1704
2.04		1708
2.08		1712
2.17		1716
2.22		1720
2.28		1724
2.36		1728
2.43		1732
2.50		1736
2.59		1740
2.64		1744
2.74		1748
2.79		1752
2.87		1756
2.93		1760
3.01		1764
3.10		1768
3.15		1772
3.21		1776
3.27		1780
3.39		1784
3.46		1788
3.54		1792
3.63		1796
3.72		1800
3.79		1804
3.92		1808
4.02		1812
4.14		1816
4.21		1820
4.32		1824
4.41		1828
4.54		1832
4.67		1836
4.69		1840
4.86		1844
4.92		1848
5.02		1852
5.12		1856
5.21		1860
5.29		1864
5.38		1868
5.50		1872
5.60		1876
5.67		1880
5.77		1884
5.82		1888
5.90		1892
5.98		1896
6.02		1900
